0,number_of_schools
379 EASTERN PARKWAY,20
379 HIMROD STREET,14
379 PACIFIC STREET,20
379 WASHINGTON AVENUE,20
38 8 AVENUE,20
38 AVENUE C,20
38 DELANCEY STREET,20
38 DRIGGS AVENUE,4
38 GROVE STREET,20
38 HALSEY STREET,19
38 LUDLOW STREET,20
38 MESEROLE STREET,20
38 SEELEY STREET,6
38 SIXTH AVENUE,20
38-01 31 AVENUE,17
38-14 ASTORIA BOULEVARD S,7
38-32 11 STREET,13
380 5 STREET,20
380 HANCOCK STREET,20
380 LENOX AVENUE,20
380 MARCUS GARVEY BLVD,20
380 NEPTUNE AVENUE,15
380 RECTOR PLACE,20
3800 BROADWAY,12
3805 GREYSTONE AVENUE,9
3806 FT HAMILTON PARKWAY,12
3807 GREYSTONE AVENUE,9
381 16 STREET,19
381 LEGION STREET,17
381 ONDERDONK AVENUE,11
381 SOUTH 3 STREET,20
382 3 AVENUE,20
382 CENTRAL PARK WEST,20
382 QUINCY STREET,20
382 SACKETT STREET,20
383 1 STREET,20
383 PROSPECT AVENUE,17
385 1 AVENUE,20
385 3 STREET,20
385 ADELPHI STREET,15
385 SOUTH END AVENUE,20
385 TROUTMAN STREET,9
385 UNION AVENUE,20
3856 BROADWAY,16
388 AVENUE X,9
388 BRIDGE STREET,20
388 SENECA AVENUE,12
389 EAST 89 STREET,20
39 1 AVENUE,20
39 BRUCKNER BOULEVARD,18
39 BUSHWICK AVENUE,20
39 DAHILL ROAD,7
39 DEVOE STREET,20
39 EAST 29 STREET,20
39-11 62 STREET,8
39-19 62 STREET,8
39-20 47 AVENUE,14
39-25 24 STREET,15
39-28 58 STREET,11
39-49 48 AVENUE,14
39-68 57 STREET,10
39-74 47 STREET,7
390 1 AVENUE,20
390 2 STREET,20
390 SOUTH 2 STREET,20
390 WEST END AVENUE,20
390 WYTHE AVENUE,14
3900 GREYSTONE AVENUE,7
391 5 AVENUE,20
391 CONVENT AVENUE,19
3910 SETON AVENUE,10
392 CENTRAL PARK WEST,20
392 CLINTON STREET,20
392 ST MARK'S AVENUE,20
393 4 AVENUE,14
393 WEST 49 STREET,20
393 WEST END AVENUE,20
395 EAST 2 STREET,11
395 EAST 49 STREET,8
395 LEONARD STREET,18
395 SMITH STREET,12
395 SOUTH END AVENUE,20
3950 BLACKSTONE AVENUE,11
396 GRAHAM AVENUE,14
396 WASHINGTON AVENUE,20
3970 NOSTRAND AVENUE,4
398 8 STREET,16
398 GRAHAM AVENUE,14
398 LORIMER STREET,20
398 TOMPKINS AVENUE,18
399 ATLANTIC AVENUE,20
399 DEAN STREET,20
399 EAST 72 STREET,20
4 1 PLACE,20
4 CENTRE MARKET PLACE,20
4 PARK AVENUE,20
4 WATER STREET,7
4 WEST 21 STREET,20
4 WEST 22 STREET,20
4 WEST 83 STREET,20
4-27 27 AVENUE,2
4-74 48 AVENUE,6
40 BROAD STREET,20
40 CATHERINE STREET,16
40 CENTRAL PARK SOUTH,14
40 EAST 61 STREET,20
40 EAST 66 STREET,20
40 EAST 78 STREET,20
40 EAST 89 STREET,20
40 EAST 94 STREET,20
40 GRANITE STREET,15
40 LINDEN BOULEVARD,20
40 MORTON STREET,20
40 NORTH 4 STREET,17
40 OCEANA DRIVE,10
40 SUTTON PLACE,14
40 THAYER STREET,16
40 WALKER STREET,20
40 WATERSIDE PLAZA,15
40 WEST 116 STREET,20
40 WEST 70 STREET,20
40 WEST 76 STREET,20
40 WOODRUFF AVENUE,15
40-04 36 AVENUE,7
40-14 62 STREET,12
40-15 61 STREET,12
40-19 ASTORIA BOULEVARD N,5
40-20 DITMARS BOULEVARD,6
40-21 23 AVENUE,6
40-22 201 STREET,12
40-22 COLLEGE POINT BOULEVARD,16
40-26 COLLEGE POINT BOULEVARD,16
40-28 COLLEGE POINT BOULEVARD,16
40-30 73 STREET,13
40-30 75 STREET,13
40-35 HAMPTON STREET,16
40-40 79 STREET,15
40-45 201 STREET,12
400 5 AVENUE,20
400 5 STREET,20
400 ARGYLE ROAD,12
400 ATLANTIC AVENUE,20
400 CENTRAL PARK WEST,20
400 CHAMBERS STREET,18
400 EAST 17 STREET,10
400 EAST 4 STREET,15
400 EAST 51 STREET,20
400 EAST 54 STREET,14
400 EAST 59 STREET,15
400 EAST 66 STREET,20
400 EAST 67 STREET,20
400 EAST 70 STREET,20
400 EAST 90 STREET,20
400 HERKIMER STREET,20
400 PARK AVENUE SOUTH,20
400 WEST 12 STREET,18
400 WEST 150 STREET,20
400 WEST 25 STREET,20
400 WEST 37 STREET,20
400 WEST 42ND STREET,20
400 WEST 63RD STREET,20
401 AMSTERDAM AVENUE,20
401 EAST 34 STREET,17
401 EAST 68 STREET,20
401 EAST 80 STREET,20
401 EAST 84 STREET,20
401 EAST 89 STREET,20
401 HENRY STREET,20
401 WEST 53 STREET,20
401 WEST 56 STREET,20
401 WEST 57 STREET,20
401 WEST END AVENUE,20
402 2 STREET,20
402 DECATUR STREET,19
402 EAST 11 STREET,20
402 EAST 12 STREET,20
402 EAST 90 STREET,20
402 GRAHAM AVENUE,13
4022 5 AVENUE,16
403 EAST 19 STREET,6
403 EAST 62 STREET,20
403 EAST 69TH STREET,20
404 COURT STREET,20
404 EAST 55 STREET,15
404 EAST 66 STREET,20
404 EAST 73 STREET,20
404 EAST 76 STREET,20
404 EAST 79 STREET,20
404 STOCKHOLM STREET,12
404 UTICA AVENUE,20
405 EAST 54TH STREET,15
405 EAST 6 STREET,20
405 WEST 23 STREET,20
405 WEST 45 STREET,20
405 WESTMINSTER ROAD,12
406 ADELPHI STREET,17
406 CENTRAL PARK WEST,14
406 EAST 64 STREET,20
406 WEST 146 STREET,19
407 14 STREET,16
408 5 AVENUE,19
408 EAST 73 STREET,20
408 EAST 88 STREET,20
408 EAST 92 STREET,20
408 EIGHTH AVENUE,20
408 UTICA AVENUE,20
408 WEST 34 STREET,20
408 WEST 57 STREET,20
41 EAST 30 STREET,20
41 EAST 7 STREET,20
41 HAUSMAN STREET,3
41 KEW GARDENS ROAD,8
41 MADISON STREET,19
41 PARK TERRACE WEST,13
41 RIVER TERRACE,18
41 ST NICHOLAS AVENUE,7
41 WARREN STREET,20
41 WEST 64 STREET,20
41 WEST 68 STREET,20
41 WEST 72 STREET,20
41 WEST 8 STREET,20
41 WEST 86 STREET,20
41 WEST 90 STREET,20
41-00 43 AVENUE,10
41-04 SKILLMAN AVENUE,8
41-06 50 STREET,11
41-07 42 STREET,8
41-11 161 STREET,9
41-11 31 AVENUE,13
41-14 54 STREET,11
41-15 29 STREET,13
41-15 45 STREET,7
41-16 47 AVENUE,12
41-16 51 STREET,11
41-16 QUEENS BOULEVARD,10
41-17 CRESCENT STREET,18
41-18 27 STREET,9
41-18 43 STREET,8
41-19 31 AVENUE,13
41-19 67 STREET,8
41-27 71 STREET,11
41-29 41 STREET,9
41-30 46 STREET,7
41-40 40 STREET,9
41-41 43 STREET,8
41-41 46 STREET,7
41-43 39 PLACE,9
41-48 40 STREET,9
41-50 63 STREET,12
41-96 GLEANE STREET,15
410 3 STREET,20
410 AVENUE X,10
410 EAST 95 STREET,20
410 EASTERN PARKWAY,20
410 SOUTH 5 STREET,20
410 STATE STREET,20
410 WEST 53 STREET,20
410-412 WEST 22 STREET,20
4102 NEW UTRECHT AVENUE,10
411 100 STREET,6
411 20 STREET,15
411 6 STREET,19
411 99 STREET,6
411 EAST 114 STREET,20
411 EAST 118 STREET,20
411 EAST 53 STREET,16
411 EAST 85 STREET,20
411 EAST 87 STREET,20
411 FAIRVIEW AVENUE,11
411 MANHATTAN AVENUE,13
411 WEST 21 STREET,20
411 WEST 44 STREET,20
411 WEST 45 STREET,20
411 WEST 52 STREET,20
412 17 STREET,15
412 3 STREET,20
412 DEAN STREET,20
412 EAST 140 STREET,20
412 EAST 50 STREET,20
412 EAST 55 STREET,16
412 HERKIMER STREET,20
412 WEST 56 STREET,20
413 BROADWAY,20
413 BUSHWICK AVENUE,14
413 EAST 114 STREET,20
413 EAST 12 STREET,20
413 EAST 78 STREET,20
413 EAST 87 STREET,20
413 EAST 88 STREET,20
413 WEST 141 STREET,20
413 WEST 23 STREET,20
414 AMSTERDAM AVENUE,20
414 GREENE AVENUE,20
414 MADISON STREET,20
414 RIVERSIDE DRIVE,20
414 STANHOPE STREET,12
414 UNION AVENUE,20
4141 BROADWAY,16
4147 BEDFORD AVENUE,11
415 83 STREET,12
415 ADELPHI STREET,15
415 ARGYLE ROAD,12
415 BUSHWICK AVENUE,14
415 CLASSON AVENUE,20
415 EAST 37 STREET,12
415 EAST 73 STREET,20
415 GREENWICH STREET,20
415 LEFFERTS AVENUE,20
415 MAIN STREET,6
415 SACKETT STREET,18
415 SUYDAM STREET,14
415 WEST 24 STREET,20
416 2 STREET,20
416 LAFAYETTE AVENUE,20
416 LAFAYETTE STREET,20
416 SUYDAM STREET,13
416 VANDERBILT AVENUE,13
416 WEST 52 STREET,20
417 EAST 12 STREET,20
417 GRAND STREET,20
417 OCEAN AVENUE,19
417 THROOP AVENUE,20
417 WEST 120 STREET,20
418 3 STREET,20
418 73 STREET,10
418 CENTRAL PARK WEST,17
418 EAST 59 STREET,14
418 EAST 73 STREET,20
418 EAST 81 STREET,20
418 PUTNAM AVENUE,18
418 WEST 47 STREET,20
419 11 STREET,20
419 7 AVENUE,20
419 86 STREET,13
419 CLASSON AVENUE,20
419 WEST 47 STREET,20
42 91 STREET,8
42 AVENUE A,20
42 DIAMOND STREET,8
42 EAST 12 STREET,20
42 HICKS STREET,10
42 HOWARD AVENUE,12
42 WALKER STREET,20
42 WEST 120 STREET,20
42-01 GREENPOINT AVENUE,12
42-02 21 AVENUE,5
42-04 65 PLACE,11
42-07 25 AVENUE,8
42-08 208 STREET,9
42-09 23 AVENUE,4
42-10 28 AVENUE,7
42-11 28 AVENUE,7
42-15 CRESCENT STREET,17
42-16 23 AVENUE,3
42-18 78 STREET,19
42-22 KETCHAM STREET,18
42-26 81 STREET,19
42-37 27 STREET,20
42-37 UNION STREET,20
42-42 80 STREET,17
42-42 COLDEN STREET,18
42-43 27 STREET,20
42-46 81 STREET,18
42-57 65 PLACE,10
42-60 CRESCENT STREET,20
42-70 156 STREET,9
42-77 HUNTER STREET,20
420 BLEECKER STREET,17
420 CORNELIA STREET,20
420 EAST 102 STREET,20
420 EAST 20 STREET,20
420 EAST 23 STREET,20
420 EAST 54 STREET,14
420 EAST 55 STREET,13
420 EAST 58 STREET,16
420 EAST 61 STREET,17
420 EAST 64 STREET,18
420 EAST 80 STREET,20
420 EAST 86 STREET,20
420 GRAND STREET,20
420 MELROSE STREET,10
420 WEST 25TH STREET,20
421 82 STREET,14
421 FRANKLIN AVENUE,20
421 HUDSON STREET,20
421 HUMBOLDT STREET,13
4219 18 AVENUE,20
422 61 STREET,8
422 7 AVENUE,20
422 EAST 75 STREET,20
422 LEXINGTON AVENUE,20
422 MARION STREET,15
423 11 STREET,20
423 49 STREET,14
423 95 STREET,9
423 EAST 117 STREET,20
423 GRAND STREET,20
423 SMITH STREET,15
423 WEST STREET,13
424 44 STREET,17
424 EAST 10 STREET,20
424 EAST 116 STREET,20
424 EAST 117 STREET,20
424 EAST 75 STREET,20
424 KEAP STREET,20
424 OCEAN VIEW AVENUE,13
424 WEST 57 STREET,20
425 43 STREET,16
425 5 AVENUE,20
425 EAST 13 STREET,20
425 EAST 63 STREET,18
425 EAST 79 STREET,20
425 EAST 96 STREET,17
425 KEAP STREET,20
425 MAIN STREET,7
425 PROSPECT PLACE,17
425 RIVERSIDE DRIVE,20
425 WEST 22 STREET,20
425 WEST 23 STREET,20
425 WEST 24 STREET,20
425 WEST 50 STREET,20
425 WEST 53 STREET,20
426 EASTERN PARKWAY,20
426 WEST BROADWAY,20
427 DEAN STREET,20
427 KINGS HIGHWAY,8
427 WYTHE AVENUE,17
428 3 STREET,20
428 BLEECKER STREET,16
428 PARK PLACE,20
429 3 STREET,20
429 EAST 153 STREET,20
429 EAST 52 STREET,14
429 GREENE AVENUE,20
429 KENT AVENUE,12
429 LENOX AVENUE,20
43 2 AVENUE,20
43 7 AVENUE,19
43 BUSHWICK AVENUE,20
43 COLUMBIA PLACE,12
43 JANE STREET,20
43 MAC DONOUGH STREET,20
43 MASPETH AVENUE,18
43 MOFFAT STREET,16
43 SPRING STREET,20
43 SUTTON STREET,5
43 VERNON AVENUE,20
43 WEST 61 STREET,20
43-01 QUEENS BOULEVARD,9
43-05 47 STREET,10
43-06 63 STREET,13
43-07 39 PLACE,10
43-08 25 AVENUE,7
43-09 43 STREET,9
43-09 47 AVENUE,11
43-09 52 STREET,12
43-10 25 AVENUE,7
43-10 48 AVENUE,8
43-14 212 STREET,8
43-14 28 AVENUE,6
43-15 45 STREET,8
43-16 34 AVENUE,10
43-17 220 STREET,5
43-17 28 AVENUE,6
43-18 39 PLACE,13
43-18 44 STREET,9
43-18 54 STREET,13
43-23 ITHACA STREET,14
43-24 43 STREET,9
43-26 49 STREET,10
43-29 41 STREET,10
43-33 46 STREET,7
43-34 49 STREET,11
43-38 47 STREET,8
43-40 41 STREET,10
43-45 EAST 30 STREET,20
43-70 ROBINSON STREET,14
430 78 STREET,14
430 COLUMBUS AVENUE,20
430 EAST 66 STREET,20
430 GRAND STREET,20
430 WEST 24 STREET,20
430 WEST 34 STREET,20
431 CENTRAL PARK WEST,18
431 CLASSON AVENUE,20
431 EAST 138 STREET,20
431 EAST 6 STREET,20
431 GRAND STREET,20
431 HICKS STREET,16
431 WEST 37 STREET,20
431 WEST 48 STREET,20
432 39 STREET,3
432 WEST 38 STREET,20
432 WEST 52 STREET,20
433 JEFFERSON AVENUE,20
433 WEST 34 STREET,20
433 WEST 45 STREET,20
434 61 STREET,9
434 EAST 115 STREET,20
434 HANCOCK STREET,20
434 JEFFERSON AVENUE,20
434 MANHATTAN AVENUE,14
434 PARK PLACE,19
435 16 STREET,12
435 BLEECKER STREET,14
435 BROADWAY,20
435 EAST 14 STREET,20
435 EAST 76 STREET,20
435 EAST 79 STREET,20
435 EAST 85 STREET,20
435 MARION STREET,16
435 WEST 45 STREET,20
436 15 STREET,15
436 ALBEE SQUARE WEST,20
436 EAST 34 STREET,12
436 EAST 77 STREET,20
436 EAST 88 STREET,20
437 13 STREET,16
437 WEST 43 STREET,20
438 12 STREET,19
438 52 STREET,14
438 58 STREET,9
438 BROOME STREET,20
438 EAST 12 STREET,20
438 GRAND AVENUE,20
438 WILSON AVENUE,20
439 2 STREET,20
439 78 STREET,13
439 82 STREET,12
439 EAST 135 STREET,20
439 LAFAYETTE STREET,20
439 TOMPKINS AVENUE,20
439 WEST 53 STREET,20
44 BENNETT AVENUE,16
44 BUTLER PLACE,18
44 DRIGGS AVENUE,4
44 EAST 12 STREET,20
44 EAST 132 STREET,20
44 EAST 67 STREET,20
44 GARDEN PLACE,19
44 HART STREET,20
44 HENRY STREET,20
44 MERCER STREET,20
44 MESEROLE AVENUE,8
44 RICHARDSON STREET,19
44 ST MARK'S PLACE,20
44 STANHOPE STREET,20
44 WEST 14 STREET,20
44 WEST 56 STREET,17
44 WOODHULL STREET,15
44-01 28 AVENUE,6
44-04 30 AVENUE,11
44-10 25 AVENUE,7
44-14 NEWTOWN ROAD,12
44-15 43 AVENUE,7
44-15 COLDEN STREET,11
44-15 PURVIS STREET,20
44-18 30 AVENUE,12
44-27 PURVES STREET,20
44-28 PURVES STREET,20
44-35 COLDEN STREET,11
44-41 PURVES STREET,20
44-74 21 STREET,10
440 EAST 23 STREET,20
440 EAST 55 STREET,15
440 KENT AVENUE,9
440 RIVERSIDE DRIVE,20
440 SENATOR STREET,12
440 WEST 22 STREET,12
440 WEST 24 STREET,20
440 WILSON AVENUE,20
440-448 NEPTUNE AVENUE,16
4401 4 AVENUE,16
441 BAINBRIDGE STREET,15
441 EAST 57 STREET,15
441 WEST 24 STREET,20
442 3 AVENUE,20
442 DECATUR STREET,17
442 EAST 20 STREET,20
442 EAST 55 STREET,15
442 EAST 78 STREET,20
442 HUMBOLDT STREET,12
442 ST MARK'S AVENUE,15
442 WEST 57 STREET,20
443 CLASSON AVENUE,20
444 AVENUE X,6
444 EAST 78 STREET,20
444 EAST 82 STREET,20
444 EAST 85 STREET,20
444 FRANKLIN AVENUE,18
444 MANHATTAN AVENUE,20
444 WEST 45 STREET,20
445 17 STREET,13
445 36 STREET,10
445 5 AVENUE,20
445 BAY RIDGE AVENUE,11
445 EAST 80 STREET,20
445 GREENE AVENUE,20
445 MEEKER AVENUE,13
445 STATE STREET,20
445 WEST 153 STREET,16
445 WEST 19 STREET,20
445 WEST 23 STREET,20
445 WEST 36 STREET,20
445 WEST 54 STREET,20
445 WEST STREET,15
446 45 STREET,17
446 ATLANTIC AVENUE,20
446 EAST 77 STREET,20
446 EAST 78 STREET,20
446 EAST 88 STREET,20
446 KENT AVENUE,9
446 KINGSTON AVENUE,20
446 SENATOR STREET,12
446 ST JOHN'S PLACE,20
446 WEST 259 STREET,7
446 WEST 49 STREET,20
447 83 STREET,12
447 95 STREET,9
447 EAST 14 STREET,20
447 HUDSON STREET,20
447 MEEKER AVENUE,13
447 WEST 18 STREET,20
448 AMSTERDAM AVENUE,20
448 EAST 53 STREET,16
448 WEST 55 STREET,20
449 7 AVENUE,19
449 EAST 84 STREET,20
449 WEST 24 STREET,20
45 7 AVENUE,19
45 CENTRAL PARK NORTH,20
45 CHRISTOPHER STREET,20
45 CLINTON STREET,20
45 EAST 25 STREET,20
45 EAST 80 STREET,20
45 EAST 89 STREET,20
45 HAVEMEYER STREET,20
45 HINCKLEY PLACE,17
45 MARKET STREET,20
45 OCEAN AVENUE,5
45 ORIENT AVENUE,17
45 PARK AVENUE,20
45 SOUTH 5 STREET,15
45 TUDOR CITY PLACE,14
45 WALL STREET,20
45 WEST 132 STREET,20
45 WEST 67 STREET,20
45 WEST 68 STREET,20
45 WHITE STREET,20
45-02 DITMARS BOULEVARD,4
45-02-45-10 41 STREET,10
45-08 40 STREET,12
45-11 25 AVENUE,6
45-14 43 STREET,10
45-15 COLDEN STREET,10
45-19 43 AVENUE,7
45-20 43 STREET,12
45-29 41 STREET,12
45-35 46 STREET,10
45-36 11 STREET,10
45-36 39 PLACE,14
45-39 42 STREET,12
45-53 40 STREET,13
45-54 41 STREET,12
45-56 42 STREET,12
450 7 AVENUE,19
450 EAST 83 STREET,20
450 WEST 17 STREET,20
450 WEST 24 STREET,20
450 WEST 42 STREET,20
4501 SNYDER AVENUE,5
451 WEST 22 STREET,20
452 EAST 29TH STREET,12
452 EAST 84 STREET,20
452 WEST 19 STREET,20
452 WEST 36 STREET,20
453 7 AVENUE,18
453 SACKETT STREET,18
454 63 STREET,11
454 EAST 119 STREET,20
454 HUMBOLDT STREET,10
454 WEST 36 STREET,20
454 WEST 57 STREET,20
454 WEST 58 STREET,20
4540 CENTER BLVD,6
4545 CENTER BOULEVARD,6
455 EAST 86 STREET,20
455 GRAHAM AVENUE,12
455 MAIN STREET,7
455 WEST 20 STREET,20
455 WEST 23 STREET,20
455 WEST 37TH STREET,20
456 BERRY STREET,17
456 GRAND STREET,20
456 QUINCY STREET,20
456 VAN BUREN STREET,20
456 WASHINGTON STREET,12
4568 MANHATTAN COLLEGE PARKWAY,9
457 ATLANTIC AVENUE,20
457 BROOME STREET,20
457 ONDERDONK AVENUE,12
457 PARK PLACE,20
457 WASHINGTON AVENUE,20
457 WEST 153 STREET,16
457 WEST 57 STREET,20
458 3 STREET,20
458 LORIMER STREET,20
4586 BEDFORD AVENUE,6
459 EAST 135 STREET,20
459 PARK AVENUE SOUTH,20
459 WEST 35 STREET,20
459 WEST 44 STREET,20
46 ALLEN STREET,20
46 DELANCEY STREET,20
46 GRAND STREET,14
46 LISPENARD STREET,9
46 MERCER STREET,20
46 WEST 126 STREET,20
46 WEST 69 STREET,20
46 WEST 73 STREET,20
46-02 30 AVENUE,10
46-06 SKILLMAN AVENUE,8
46-16 NEWTOWN ROAD,10
46-25 SKILLMAN AVENUE,6
46-30 CENTER BOULEVARD,7
460 2 AVENUE,20
460 41 STREET,16
460 CENTRAL AVENUE,20
460 DRIGGS AVENUE,20
460 NEPTUNE AVENUE,14
460 WEST 236 STREET,17
460 WEST 42 STREET,20
4600 9 AVENUE,13
461 CHAUNCEY STREET,17
461 DEAN STREET,20
461 HENRY STREET,20
461 LINCOLN PLACE,17
461 WEST 147 STREET,18
4610 CENTER BOULEVARD,6
4611 5 AVENUE,2
4616-4624 CORTELYOU ROAD,6
462 3 STREET,20
462 AMSTERDAM AVENUE,20
462 KEAP STREET,20
463 4 STREET,20
463 PUTNAM AVENUE,19
464 CLINTON AVENUE,15
464 WEST 44 STREET,20
464 WILSON AVENUE,20
465 5 STREET,19
465 EAST 7 STREET,14
465 PARK AVENUE,20
465 WEST 23 STREET,20
466 50 STREET,12
466 BAY RIDGE AVENUE,11
466 LEXINGTON AVENUE,20
466 WEST 166 STREET,18
467 6 AVENUE,20
467 PACIFIC STREET,20
467 TROUTMAN STREET,7
468 EAST 141 STREET,20
468 STATE STREET,20
469 CLINTON AVENUE,15
469 COLUMBUS AVENUE,20
469 HARMAN STREET,12
47 CARROLL STREET,9
47 CATHERINE STREET,20
47 DEAN STREET,20
47 DELANCEY STREET,20
47 MC KEEVER PLACE,13
47 PERRY STREET,20
47 ST NICHOLAS PLACE,19
47 THAMES STREET,7
47 VARICK AVENUE,0
47 WEST 76 STREET,20
47 WEST 85 STREET,20
47-04 30 AVENUE,11
47-05 30 AVENUE,11
47-05 CENTER BLVD,6
47-07 30 AVENUE,12
47-09 5 STREET,8
47-11 44 STREET,11
47-11 DITMARS BOULEVARD,4
47-15 30 AVENUE,11
47-19 45 STREET,10
47-20 42 STREET,12
47-21 NEWTOWN ROAD,9
47-22 41 STREET,12
47-30 48 STREET,8
47-33 39 PLACE,14
47-36 48 STREET,8
47-40 11 STREET,8
47-46 40 STREET,14
47-50 41 STREET,11
47-60 39 PLACE,15
470 6 STREET,20
470 74 STREET,13
470 BERGEN STREET,20
470 LENOX AVENUE,20
470 STATE STREET,20
471 18 STREET,13
471 50 STREET,12
471 77 STREET,12
471 CENTRAL PARK WEST,20
471 KEAP STREET,20
471 WEST 140 STREET,20
4714 7 AVENUE,14
472 CLINTON STREET,20
4720 CENTER BOULEVARD,6
4730 BROADWAY,15
474 9 AVENUE,20
474 HALSEY STREET,20
474 OVINGTON AVENUE,10
475 84 STREET,11
475 COLUMBUS AVENUE,20
475 WEST BROADWAY,20
477 BROOME STREET,20
477 SACKETT STREET,18
478 9 STREET,20
478 CENTRAL PARK WEST,20
478 SMITH STREET,13
479 1 AVENUE,20
479 12 STREET,15
479 FLATBUSH AVENUE,5
479 WEST 152 STREET,18
4791 BROADWAY,13
48 3 AVENUE,20
48 MORGAN AVENUE,10
48 POST AVENUE,18
48 ST NICHOLAS PLACE,19
48 WEST 138 STREET,20
48 WEST 87 STREET,20
48-15 11TH STREET,8
48-15 30 AVENUE,6
48-16 30 AVENUE,11
48-16 46 STREET,7
48-20 48 STREET,6
48-23 42 STREET,10
48-24 48 STREET,6
48-30 40TH STREET,11
48-31 43 STREET,8
48-36 44 STREET,8
48-40 48 STREET,6
48-42 41 STREET,9
48-50 37 STREET,16
48-50 38 STREET,16
48-50 41 STREET,9
48-53 45 STREET,8
48-84 37 STREET,12
480 2 AVENUE,20
480 5 AVENUE,17
480 CENTRAL PARK WEST,20
480 HUMBOLDT STREET,9
480 WARREN STREET,20
4803 6 AVENUE,14
481 12 STREET,15
481 7 AVENUE,19
481 COLUMBUS AVENUE,20
481 WASHINGTON STREET,14
4815 4 AVENUE,16
482 EAST 74 STREET,20
482 WEST BROADWAY,20
4820 4 AVENUE,20
483 12 STREET,16
483 ATLANTIC AVENUE,20
483 COLUMBUS AVENUE,20
483 GRANDVIEW AVENUE,10
484 2 AVENUE,20
484 9 AVENUE,20
484 HANCOCK STREET,20
484 HUMBOLDT STREET,11
485 EAST 21 STREET,7
485 PACIFIC STREET,20
4857 BROADWAY,16
486 4 AVENUE,13
486 BROOKLYN AVENUE,20
4861 BROADWAY,15
487 CLIFTON AVENUE,3
487 KEAP STREET,20
487 SENECA AVENUE,12
488 3 AVENUE,8
488 7 AVENUE,20
488A 7 AVENUE,7
489 3 AVENUE,11
489 BROADWAY,20
489 CHAUNCEY STREET,16
489 EAST 140 STREET,20
489 MYRTLE AVENUE,20
489 WEST END AVENUE,20
49 ARLO ROAD,1
49 CLARKSON AVENUE,17
49 GROVE STREET,20
49 JANE STREET,20
49 WEST 19 STREET,20
49-14 21 AVENUE,4
49-15 SKILLMAN AVENUE,11
490 2 AVENUE,20
490 EAST 189 STREET,20
490 HALSEY STREET,20
490 HUMBOLDT STREET,9
490 PUTNAM AVENUE,20
490A 7 AVENUE,20
4914 4 AVENUE,17
492 3 STREET,20
492 9 AVENUE,20
492 HENRY STREET,18
492 LEFFERTS AVENUE,20
493 CLINTON AVENUE,18
494 PROSPECT PLACE,19
494 SENECA AVENUE,13
495 EAST 7 STREET,13
495 HENRY STREET,20
496 COURT STREET,12
496 VAN BUREN STREET,20
499 EAST 156 STREET,20
499 VANDERBILT AVENUE,17
5 CORNELIA STREET,20
5 DELEVAN STREET,13
5 EAST 22 STREET,20
5 EAST 44 STREET,20
5 EAST 86 STREET,20
5 FRANKLIN PLACE,20
5 HANOVER SQUARE,20
5 LINDEN BOULEVARD,20
5 MINERVA PLACE,13
5 PETER COOPER ROAD,20
5 TUDOR CITY PLACE,15
5 WEST 102 STREET,18
5 WEST 15 STREET,20
5 WEST 86 STREET,20
5-09 48 AVENUE,8
5-11 47 AVENUE,8
5-26 51 AVENUE,6
5-35 51 AVENUE,7
5-49 BORDEN AVENUE,4
50 AVENUE B,20
50 BATTERY PLACE,20
50 BAYARD STREET,20
50 BRIDGE STREET,13
50 BUSHWICK AVENUE,20
50 EAST 129 STREET,20
50 EAST 18 STREET,18
50 EAST 19 STREET,18
50 EAST 28TH STREET,20
50 EAST 3 STREET,20
50 EAST 72 STREET,20
50 EAST 86 STREET,20
50 FRANKLIN STREET,20
50 GREENPOINT AVENUE,2
50 HERKIMER STREET,18
50 LEXINGTON AVENUE,20
50 MURRAY STREET,20
50 NORTH 1 STREET,16
50 OCEAN PARKWAY,8
50 PLAZA STREET EAST,13
50 RIVERSIDE BOULEVARD,20
50 STANHOPE STREET,20
50 UNITED NATIONS PLAZA,13
50 WEST 15 STREET,20
50 WEST 20TH STREET,20
50 WEST 30TH STREET,20
50 WEST 34 STREET,20
50 WEST 55 STREET,17
50 WEST 72 STREET,20
50 WEST 77 STREET,20
50 WEST 97 STREET,20
50 WEST STREET,20
50-11 30 AVENUE,10
50-15 39 STREET,10
50-16 39 PLACE,9
50-18 39 STREET,9
50-58 42 STREET,6
50-64 42 STREET,4
500 10 STREET,20
500 2 AVENUE,20
500 4 AVENUE,16
500 7 STREET,18
500 DRIGGS AVENUE,20
500 EAST 87 STREET,20
500 FLATBUSH AVENUE,6
500 GRAND AVENUE,20
500 GRAND STREET,20
500 KAPPOCK STREET,14
500 OCEAN AVENUE,19
500 PUTNAM AVENUE,20
500 ST JOHN'S PLACE,20
500 WAVERLY AVENUE,17
500 WEST 21ST STREET,20
500 WEST 23 STREET,20
500 WEST 30TH STREET,13
500 WEST 43 STREET,20
5009 BROADWAY,14
500A EAST 87TH STREET,20
501 8 STREET,20
501 COLUMBUS AVENUE,20
501 EAST 21 STREET,9
501 EAST 74TH STREET,20
501 EAST 85TH STREET,20
501 EAST 87 STREET,18
501 ONDERDONK AVENUE,12
501 WEST 123 STREET,20
501 WEST 173 STREET,19
502 9 AVENUE,20
502 CLASSON AVENUE,20
502 GRANDVIEW AVENUE,11
502 PARK AVENUE,20
503 EAST 53 STREET,15
503 HICKS STREET,14
