0,number_of_schools
134 PROSPECT PLACE,20
134 PULASKI STREET,20
134 WEST 93 STREET,20
1340 HANCOCK STREET,20
1342 BERGEN STREET,20
1344 MYRTLE AVENUE,20
1346 HANCOCK STREET,20
1349 2 AVENUE,20
135 14 STREET,11
135 29 STREET,4
135 3 AVENUE,20
135 AVENUE A,20
135 CENTRAL PARK WEST,20
135 CORNELIA STREET,20
135 EAST 54 STREET,20
135 EAST 71 STREET,20
135 ERASMUS STREET,20
135 LAWRENCE STREET,20
135 OCEAN PARKWAY,13
135 SEA BREEZE AVENUE,7
135 SULLIVAN STREET,20
135 WEST 52 STREET,18
135 WEST 58 STREET,15
135 WEST 70 STREET,20
135 WEST 82 STREET,20
135 WEST 94 STREET,20
135-16 82 AVENUE,4
135-20-135-24 HOOVER AVENUE,2
135-23 82 AVENUE,6
135-38 COOLIDGE AVENUE,5
1350 DECATUR STREET,13
1351 NEW YORK AVENUE,11
1353 MYRTLE AVENUE,20
1353 PARK PLACE,20
1356 BROADWAY,18
1356 NEW YORK AVENUE,12
1356 WILLOUGHBY AVENUE,14
1357 PACIFIC STREET,20
1359 1 AVENUE,20
136 87 STREET,14
136 CLIFTON PLACE,20
136 EAST 117 STREET,20
136 EAST 28 STREET,20
136 EAST 55 STREET,20
136 EAST BROADWAY,20
136 IRVING AVENUE,17
136 PROSPECT PLACE,20
136 PULASKI STREET,20
136 ST MARK'S PLACE,20
136 WEST 11 STREET,20
136 WEST 111 STREET,20
136 WEST 118 STREET,20
136 WEST 72 STREET,20
136 WEST 74 STREET,20
136-140 WEST 23 STREET,20
1360 ST NICHOLAS AVENUE,20
1361 PARK PLACE,20
1362 DE KALB AVENUE,19
1365 GREENE AVENUE,17
1365 SAINT NICHOLAS AVENUE,20
1365 WEST 7 STREET,18
1366 WEST 7 STREET,18
1367 65 STREET,18
1368 PACIFIC STREET,20
137 DAHILL ROAD,11
137 DECATUR STREET,20
137 EAST 110 STREET,20
137 EAST 13 STREET,20
137 EAST 38 STREET,20
137 FRANKLIN STREET,5
137 HENRY STREET,20
137 MADISON STREET,20
137 MANHATTAN AVENUE,20
137 PUTNAM AVENUE,18
137-20 45 AVENUE,11
137-30 68 DRIVE,4
1377 DEAN STREET,20
1378 1 AVENUE,20
138 BROADWAY,20
138 COURT STREET,20
138 E 12TH ST,20
138 EAST 37 STREET,20
138 EAST 74 STREET,20
138 EAST 94 STREET,20
138 GROVE STREET,20
138 LINDEN STREET,20
138 MANHATTAN AVENUE,20
138 ORCHARD STREET,20
138 PRESIDENT STREET,13
138 RIDGE STREET,20
138 SACKETT STREET,11
138 WEST 123 STREET,20
138-14 HOOVER AVENUE,3
138-35 39 AVENUE,15
1380 MADISON STREET,20
1384 LEXINGTON AVENUE,20
1388 2 AVENUE,20
139 70 STREET,8
139 COLUMBIA STREET,8
139 EAST 110 STREET,20
139 EMERSON PLACE,19
139 FRANKLIN STREET,20
139 SKILLMAN AVENUE,15
139 WOOSTER STREET,20
139-06 34 ROAD,19
139-09 34 ROAD,19
139-55 35 AVENUE,18
1391 DEAN STREET,20
1393 DEAN STREET,20
1396 MADISON AVENUE,20
1397 GREENE AVENUE,19
14 BREVOORT PLACE,20
14 DELANCEY STREET,20
